name,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
iris,0.6666666666666667,1.1702778228589004e-16,0.96,0.04661372658534006,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6266666666666667,0.04661372658534006,0.5866666666666667,0.10327955589886442,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.0,1.4142135623730951,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.4487534065700905
zoo,0.6036363636363635,0.011499191491521382,0.5736363636363636,0.05203834144855361,0.9200000000000002,0.09189365834726813,0.96,0.05163977794943222,0.9800000000000001,0.04216370213557838,0.40545454545454546,0.01724878723728206,0.5836363636363636,0.04551511116489354,10,4.8,2.0976176963403033,0.1,0.1221969200435623,88.03809523809524,60.738832261742,0.14285714285714285,0.053452248382484885,9,0.5625,0.0891089108910891,1.2857142857142858,0.4879500364742666,1.0,0.0,4.105263157894737,2.1316330943956574,0.13318105680701312,0.12789839346659077,0.2078125,0.17948735834469112,0.0625,0.10589291504453907
wine,0.6196078431372549,0.09631995292972285,0.6369281045751634,0.10810634458793991,0.9774509803921569,0.029125941127316323,0.9777777777777779,0.028688765527462363,0.7480392156862745,0.10056596266349803,0.5784313725490196,0.05515899303342992,0.6176470588235294,0.10665372570195479,12,3.75,0.7537783614444091,0.08333333333333333,0.1265510065295304,46.13333333333333,16.228668983305347,0.3333333333333333,0.16666666666666669,11,0.8461538461538461,0.06179775280898876,2.2,1.3038404810405297,1.5714285714285714,1.133893419027682,2.9565217391304346,1.2605287804426009,0.23891722674639074,0.17305714131305633,0.2864583333333333,0.08514832201766658,0.07692307692307693,0.13402617931937605
hayes-roth,0.4375,0.05103103630798288,0.45625,0.14746115307655325,0.55625,0.09969571761671166,0.7,0.15252504348102605,0.76875,0.11429888936954335,0.4875,0.06454972243679029,0.3375,0.06038073644245599,25,7.56,2.5508168626278653,0.04,0.03197085261088085,1154.1968253968255,922.5932613794242,0.3333333333333333,0.24440403706431146,24,6.0,0.15,2.4,1.429840705968481,6.0,1.632993161855452,6.73469387755102,2.6439830291632735,0.08896948028320784,0.11979540816679059,0.088046875,0.14556888399583537,0.25,0.1749583530098577
transplant,0.9478021978021977,0.11222339725206232,0.9478021978021977,0.11222339725206232,0.9692307692307693,0.07431475254456121,0.94010989010989,0.1108762226272441,0.9478021978021977,0.11222339725206232,0.771978021978022,0.10474044965884777,0.9478021978021978,0.07758523655668548,2,1.0,0.0,0.5,0.18892165909564243,4.0,0.0,0.5,0.0,1,0.3333333333333333,0.007633587786259542,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.3333333333333333,0.5773502691896258
kc1-top5,0.9252380952380953,0.06617543889179764,0.9257142857142858,0.07329828063513164,0.8761904761904763,0.07939681905015745,0.89,0.07268558838851918,0.9033333333333333,0.10905235543421132,0.9452380952380952,0.02894378179176264,0.9452380952380952,0.02894378179176264,8,3.125,0.6408699444616557,0.125,0.29812704508202975,23.333333333333332,5.656854249492381,0.5,0.0,7,0.07446808510638298,0.04827586206896552,1.75,0.9574271077563381,1.0,0.0,2.4,1.1212238211627763,0.24337065668081773,0.1481265199364758,0.359375,0.08010874305770696,0.010638297872340425,0.050214005219617955
kc1-binary,0.658095238095238,0.1886526467177989,0.6009523809523809,0.1353364274748779,0.6433333333333333,0.15686925034307966,0.6738095238095239,0.13952462213317726,0.5942857142857143,0.16277079303658762,0.5857142857142856,0.015058465048420858,0.5871428571428571,0.0919553278115258,22,5.181818181818182,1.4019158196439492,0.045454545454545456,0.07936841141023729,194.87619047619046,118.17202843160015,0.5,0.06428243465332248,21,0.22340425531914893,0.14482758620689656,3.0,1.4142135623730951,1.2352941176470589,0.43723731609760313,4.325581395348837,1.7555480792884157,0.14469624541433534,0.07160690024359485,0.1690340909090909,0.11978872573088602,0.010638297872340424,0.0402785526531994
datatrieve,0.9230769230769231,0.05128205128205128,0.876923076923077,0.08268982305947233,0.8769230769230768,0.039722906114947894,0.8076923076923077,0.0830864192103572,0.8384615384615385,0.04366509324596512,0.9153846153846155,0.024325212770526013,0.9153846153846155,0.024325212770526013,13,4.615384615384615,2.0223114472661203,0.07692307692307691,0.1381763444646921,124.01904761904763,142.13153032427562,0.5,0.16317848796612636,12,1.5,0.09230769230769231,1.5,0.7559289460184544,2.0,0.8944271909999159,3.84,2.1924111536540463,0.11285768786857539,0.13443720252321334,0.23978365384615385,0.1556428508323603,0.125,0.11767955338075478
MyIris,0.6666666666666667,1.1702778228589004e-16,0.9333333333333333,0.07027283689263064,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.6000000000000001,0.08314794192830981,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.0,1.4142135623730951,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.4487534065700905
KungChi3,0.862820512820513,0.09936242067361993,0.8461538461538464,0.09546285428926785,0.8865384615384615,0.11053639994085866,0.8134615384615385,0.08490464672632536,0.782051282051282,0.15698949304890505,0.8544871794871796,0.06207991263390678,0.8621794871794872,0.054664952160111226,12,4.583333333333333,2.151461800448216,0.08333333333333333,0.1732689033257541,118.68571428571427,136.28431266125614,0.5,0.11785113019775793,11,0.28205128205128205,0.08943089430894309,1.375,0.7440238091428449,1.2222222222222223,0.4409585518440984,3.8260869565217392,2.28934635198949,0.10527347861769407,0.15040561209145709,0.24934895833333334,0.167243191570411,0.02564102564102564,0.06104938988011207
