@relation sprememba_zmesan

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric

@data
0.5174301383,0.7733421732,0.415433065,7.868216342
0.7496494872,0.8622030738,0.2181528241,43.34810696
0.3753904003,0.4504444962,0.1724055359,3.943147879
0.6180963214,0.7568069719,0.1588498257,8.461830912
0.9531642865,0.2211934819,0.444961404,12.04962735
0.02657695555,0.3437048876,0.7809528641,20.23468126
0.605580623,0.09976394131,0.7195568472,1.102970804
0.903416373,0.7657083761,0.8455463894,41.86016229
0.411224584,0.2808113726,0.773776326,2.558822262
0.7387986027,0.02334036306,0.5348619616,2.597404743
0.3401926078,0.7653138724,0.3579884233,6.430110582
0.3265552461,0.6425602678,0.4474657914,33.12914156
0.1594186882,0.8437701251,0.1991810638,5.56397789
0.3902352942,0.9606397412,0.8545665222,51.68340677
0.1904244512,0.8710520918,0.8858746314,6.013956625
0.8470498912,0.8273561912,0.6756392228,11.14490067
0.178602381,0.2528753059,0.1903568506,12.82494395
0.3656788389,0.05122309049,0.4394669487,0.443427455
0.3829749511,0.7328615154,0.6441278157,38.71757899
0.54300809,0.3042287784,0.272443644,3.173130771
0.5504120906,0.6837510006,0.005458159887,7.18220318
0.6174268841,0.8475996435,0.5552790372,43.92165622
0.4992689636,0.6076189043,0.002090910195,30.38096707
0.7726946985,0.3272352556,0.5014086132,4.16470575
0.3924920303,0.1125607414,0.7507543828,1.004595646
0.6778014592,0.9278342699,0.5465078144,10.92804557
0.3748312208,0.12244888,0.2093665098,1.071221032
0.8432050006,0.7475617877,0.009716121069,37.3785614
0.3632063697,0.2152914762,0.1398958873,10.86242811
0.9389486733,0.8923742901,0.9810819803,12.84080801
0.1299645765,0.8266674485,0.711164367,5.207712091
0.4211678526,0.5691346462,0.8995751177,32.50290927
0.4227742791,0.3438044624,0.2299524514,3.17253915
0.0175223538,0.07033808762,0.6761799758,0.3640153267
0.4397122966,0.05624606767,0.4967276055,4.045994954
0.5863028477,0.3377482949,0.2459079161,3.668969346
0.6169857854,0.2055548332,0.985891052,15.13764749
0.8411209894,0.2518620312,0.6834120995,3.377774564
0.4063568044,0.2483703926,0.3744065337,2.251121953
0.6970838204,0.6895210338,0.1584401948,8.254144734
0.3843291379,0.8634154979,0.6520206241,7.635434829
0.7081882976,0.5394447872,0.3371240376,27.54050244
0.6793322822,0.134998039,0.2636591363,1.592075455
0.3021944794,0.3576272931,0.004592325362,2.868866402
0.4375449033,0.9310076379,0.9482540937,51.04631103
0.57040256,0.845277266,0.4748867869,9.047869495
0.5976433214,0.7370216405,0.07987993899,8.089868814
0.08687870204,0.4916854257,0.5683210409,2.885597045
0.8763851844,0.6404092765,0.6239565288,8.814498401
0.05737700785,0.527262271,0.7499606494,2.93883867
0.2021462589,0.8744137738,0.8439607534,6.1396636
0.7291402816,0.9846258048,0.662153776,51.42352835
0.40641954,0.6292394006,0.2665533387,31.81722344
0.4299477451,0.06791449541,0.9229877756,7.65525694
0.2532351705,0.2562427228,0.4002106233,13.61297885
0.9326868052,0.9258640555,0.1569749353,46.41640843
0.7854151632,0.8563846,0.1250940205,11.0080975
0.02550991663,0.5767304931,0.595772913,30.61125148
0.3223784628,0.2958659764,0.8484271534,18.39244199
0.7842133801,0.5025597339,0.2528876852,6.453939345
0.7654335282,0.9510491614,0.5873353493,12.03489496
0.07897547283,0.4665946351,0.4107768269,24.17341976
0.8718679852,0.8352513008,0.4699180398,42.86667986
0.1627897176,0.8611977307,0.3157778723,5.707930007
0.4497613539,0.0414020738,0.8095674298,0.3932208966
0.2888340037,0.1460401393,0.4982785313,8.543414436
0.5314001723,0.4740270373,0.5422392182,4.889115679
0.1959019136,0.4116150886,0.07973451657,2.864437278
0.05555477992,0.2425364114,0.8022786872,15.34507603
0.7195276446,0.3677418773,0.4592725264,4.484713854
0.2069061661,0.4935173786,0.8709476081,28.46861761
0.2068375032,0.01172320738,0.4112981291,0.08286402631
0.08383387771,0.6563698604,0.8685153095,36.59008723
0.6929098811,0.6658431157,0.0765920052,33.32148746
0.7792863338,0.3682011976,0.1560446333,18.53180952
0.5897881178,0.2280931892,0.4668077911,12.49420703
0.7507064672,0.6849025957,0.1880202152,34.42188779
0.4435898287,0.09437657738,0.7900430673,0.8905277848
0.02223081787,0.862341219,0.6991142431,45.56086457
0.2552631552,0.0798071426,0.5416218854,0.6027539433
0.610304414,0.9181729333,0.7036063672,48.38395626
0.5822778511,0.848726449,0.2341810626,9.185578374
0.1678242999,0.2457016023,0.3522256188,1.640855005
0.02119579969,0.6974964007,0.6948366636,37.28880998
0.2295835286,0.2181461387,0.4103390154,1.591558296
0.83204349,0.8317556656,0.1954601913,11.0793472
0.1820696146,0.1244897052,0.4807008808,0.8491064523
0.8347099483,0.7440084922,0.4548677014,38.23494774
0.8897024602,0.1971317632,0.5950899071,2.739544963
0.4394182067,0.0451385043,0.7291171682,4.91498444
0.146558583,0.05799301175,0.05281859376,0.3749587951
0.8288406142,0.9937336165,0.7980731104,13.20513589
0.7710117298,0.2110695644,0.6526691694,2.682718922
0.8417407585,0.667496124,0.3797454859,34.09583937
0.959556553,0.889761144,0.4987331178,12.98656708
0.1478583292,0.2306072709,0.4016750287,1.494008412
0.3850941131,0.9251219054,0.2611922725,8.188199524
0.9455751933,0.09441259429,0.8057177925,7.96653552
0.630087308,0.2872671774,0.8700188783,3.246369911
0.902289037,0.4655359299,0.7036190899,6.528159308
0.2537508725,0.5052729682,0.214916815,25.4945946
0.8845071539,0.7112096131,0.4014759717,36.36639544
0.8775674241,0.3241207147,0.2742524442,4.464981381
0.2300903773,0.2913145607,0.9926351174,19.49235042
0.4148608449,0.4751008539,0.6018110387,4.346511686
0.898330328,0.9882299564,0.3488501468,13.81871919
0.9771873705,0.5358295865,0.5264702699,28.17733405
0.9139725688,0.6738435477,0.0626175692,9.527962921
0.112434435,0.003714948427,0.2616095995,0.02275162341
0.4854314808,0.5050780461,0.4916258862,4.977198069
0.8855635856,0.959202211,0.3924626689,13.29035655
